ticker,company_name
AAPL,Apple Inc
MSFT,Microsoft Corporation
GOOGL,Alphabet Inc
TCS,Tata Consultancy Services
VYX,NCR Voyix Corporation
MILKYMIST,Milky Mist Dairy Food
HDFCLIFE,HDFC Life Insurance
TMPV,Tata Motors Passenger Vehicles
SBILIFE,SBI Life Insurance
DRREDDY,Dr Reddys Laboratories
BEL,Bharat Electronics
INDIGO,InterGlobe Aviation
TATASTEEL,Tata Steel
JIOFIN,Jio Financial Services
ETERNAL,Eternal Limited
SHRIRAMFIN,Shriram Finance
ASIANPAINT,Asian Paints
MARUTI,Maruti Suzuki India
TATACONSUM,Tata Consumer Products
CIPLA,Cipla
BAJAJFINSV,Bajaj Finserv
MAXHEALTH,Max Healthcare Institute
BAJFINANCE,Bajaj Finance
ADANIPORTS,Adani Ports and Special Economic Zone
APOLLOHOSP,Apollo Hospitals Enterprise
HINDALCO,Hindalco Industries
